Household_ID,Postcode,lat,lon,Age,Employment_Status,Household_Size,Num_Children,Disability,Annual_Income,Savings_Capital,Monthly_Rent,Tenure_Years,Property_Beds,EPC_Rating,Benefits_Eligible,Benefits_Claimed,Council_Tax_Arrears,Rent_Arrears
LEI-1052,EH6 4,55.961997780455306,-3.1864326986382014,47,Full-time,3,2,No,18097,10868,727,5.3,2,D,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1053,EH6 6,55.957543246690165,-3.188121920233063,27,Full-time,1,0,No,32833,1894,586,6.2,1,F,None,None,No,0
LEI-1054,EH6 4,55.957351352871825,-3.1822349838078705,28,Full-time,1,0,No,20001,628,531,1.7,1,E,None,None,No,0
LEI-1055,EH6 4,55.9611483808688,-3.1875725937543002,35,Part-time,3,0,Yes,17572,5248,800,3.3,3,E,PIP,PIP,No,0
LEI-1056,EH6 4,55.95888307740727,-3.1808443691254675,34,Full-time,2,0,No,39746,9652,880,3.3,3,C,None,None,No,0
LEI-1057,EH6 6,55.960111394849676,-3.1795376959295982,54,Part-time,2,1,Yes,13799,111,541,14.7,1,D,"Child Benefit, Universal Credit, PIP","Child Benefit, Universal Credit, PIP",Yes,661
LEI-1058,EH6 6,55.96264519496483,-3.1856726466956355,35,Full-time,1,0,No,55847,10924,545,3.1,1,B,None,None,No,0
LEI-1059,EH6 6,55.96199441565874,-3.1850676244165137,57,Full-time,3,2,No,29878,870,835,4.0,3,D,"Child Benefit, Child Tax Credit",Child Benefit,No,0
LEI-1060,EH6 4,55.960382462348434,-3.183276244671647,29,Unemployed,2,0,No,5040,7323,538,5.5,1,C,Universal Credit,None,No,0
LEI-1061,EH6 4,55.96051107090372,-3.1883580436674124,41,Full-time,2,1,No,38539,23647,858,14.0,3,G,Child Benefit,Child Benefit,No,547
LEI-1062,EH6 6,55.95919800733804,-3.1765820675991217,34,Full-time,3,2,No,27747,3857,1048,11.9,4,C,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1063,EH6 4,55.96077544942259,-3.1869673242482377,86,Retired,4,2,Yes,11695,2272,885,4.7,3,C,"Child Benefit, Child Tax Credit, PIP, Pension Credit","Child Benefit, Child Tax Credit, PIP, Pension Credit",No,0
LEI-1064,EH6 6,55.963720273998455,-3.184988783597829,28,Full-time,6,2,No,9655,9620,1161,37.1,5,C,"Child Benefit, Child Tax Credit, Universal Credit","Child Tax Credit, Universal Credit",No,0
LEI-1065,EH6 4,55.962835706947544,-3.1857365075642026,66,Part-time,2,0,No,21745,7543,552,5.3,1,G,None,None,No,0
LEI-1066,EH6 4,55.96120986076337,-3.1870494717352895,35,Full-time,3,2,No,38217,5702,1021,1.1,4,F,Child Benefit,Child Benefit,No,0
LEI-1067,EH6 6,55.96661060027982,-3.1847846345782855,37,Full-time,1,0,No,19757,4382,560,5.5,1,C,None,None,No,0
LEI-1068,EH6 4,55.9632918130097,-3.1812544071844773,50,Full-time,1,0,No,27611,5206,555,0.6,1,C,None,None,No,0
LEI-1069,EH6 4,55.96386721930781,-3.187118107383507,59,Unemployed,1,0,No,4713,507,527,1.5,1,C,Universal Credit,Universal Credit,No,0
LEI-1070,EH6 4,55.959959553515716,-3.183945891576289,57,Full-time,3,2,No,27595,1027,694,1.0,2,D,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1071,EH6 4,55.959843461097165,-3.1826168935732304,60,Full-time,1,0,No,30147,6,592,4.9,1,C,None,None,No,0
LEI-1072,EH6 6,55.957914908029394,-3.182140087192767,24,Full-time,2,0,Yes,41677,2986,592,1.2,1,E,PIP,None,No,0
LEI-1073,EH6 6,55.96132725521127,-3.1856139974699214,39,Unemployed,3,0,Yes,6153,27720,1048,6.8,4,D,PIP,PIP,Yes,3537
LEI-1074,EH6 4,55.96483104805847,-3.184597250783219,36,Full-time,1,0,No,47930,1072,574,9.5,1,C,None,None,No,0
LEI-1075,EH6 6,55.960571842738524,-3.1831074792669987,48,Full-time,4,3,No,39081,1567,824,1.4,3,D,Child Benefit,Child Benefit,No,0
LEI-1076,EH6 6,55.96271100362122,-3.184486774652525,49,Full-time,4,2,Yes,28929,9561,952,2.1,4,C,"Child Benefit, Child Tax Credit, PIP","Child Benefit, Child Tax Credit, PIP",No,0
LEI-1077,EH6 4,55.962912330181226,-3.1845204738519333,23,Full-time,1,0,No,26984,70,594,0.5,1,D,None,None,No,0
LEI-1078,EH6 4,55.9632716003173,-3.1831236273146453,30,Part-time,1,0,No,18409,5776,539,7.3,1,A,None,None,No,0
LEI-1079,EH6 4,55.95761653026315,-3.185813324516908,61,Full-time,2,1,No,26559,662,805,6.1,3,D,Child Benefit,Child Benefit,No,0
LEI-1080,EH6 4,55.96532396024827,-3.1833262228139247,50,Full-time,4,1,No,37133,4831,975,5.5,4,D,Child Benefit,None,No,0
LEI-1081,EH6 6,55.9592709620887,-3.1874947287406106,37,Unemployed,4,2,Yes,5789,7620,858,1.6,3,D,"Child Benefit, Child Tax Credit, Universal Credit, PIP","Child Benefit, Child Tax Credit, PIP",No,0
LEI-1082,EH6 4,55.95887607804691,-3.1851721296122704,19,Full-time,4,2,No,31257,4702,835,4.3,3,B,Child Benefit,Child Benefit,No,0
LEI-1083,EH6 6,55.95843409543892,-3.1861183052736455,57,Full-time,1,0,No,32613,846,586,7.5,1,D,None,None,No,0
LEI-1084,EH6 4,55.95705064145503,-3.1844766622129743,62,Full-time,1,0,No,41339,1071,527,3.0,1,C,None,None,No,0
LEI-1085,EH6 4,55.96173377011684,-3.1846812963485682,20,Full-time,1,0,No,44914,3573,500,6.6,1,D,None,None,No,0
LEI-1086,EH6 4,55.96193030359805,-3.185445956403224,39,Full-time,1,0,No,34437,5281,710,12.2,2,B,None,None,No,0
LEI-1087,EH6 6,55.961796770236575,-3.186462630354019,43,Full-time,5,4,No,21685,3038,1142,3.9,5,B,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1088,EH6 6,55.962500228949295,-3.190702756584356,89,Retired,3,2,Yes,18541,1352,884,6.7,3,C,"Child Benefit, Child Tax Credit, PIP","Child Benefit, Child Tax Credit, PIP",No,0
LEI-1089,EH6 6,55.963310385349565,-3.1880569175676086,44,Full-time,1,0,No,32769,8779,545,0.7,1,F,None,None,No,0
LEI-1090,EH6 6,55.961982073311646,-3.1794997054030967,27,Full-time,1,0,Yes,30423,12276,530,9.2,1,D,PIP,PIP,No,0
LEI-1091,EH6 4,55.9635029492599,-3.184816587761584,39,Full-time,4,0,Yes,37776,2354,1114,2.7,5,D,PIP,PIP,No,0
LEI-1092,EH6 4,55.96109292802885,-3.185309094922994,44,Full-time,3,1,No,36602,11270,675,14.7,2,C,Child Benefit,None,No,0
LEI-1093,EH6 6,55.96374514086402,-3.177080742780982,65,Full-time,4,1,No,36075,3381,814,13.6,3,C,Child Benefit,Child Benefit,No,0
LEI-1094,EH6 4,55.96113864984627,-3.1830149092456277,80,Retired,3,0,No,3800,5654,726,7.6,2,D,Pension Credit,None,No,0
LEI-1095,EH6 4,55.960619355633725,-3.1828593778755097,59,Full-time,1,0,Yes,25041,10148,546,2.8,1,F,PIP,PIP,No,0
LEI-1096,EH6 4,55.961781183382406,-3.1826621295670856,62,Full-time,1,0,No,16436,2157,723,7.9,2,E,Universal Credit,Universal Credit,Yes,1434
LEI-1097,EH6 4,55.96274872549451,-3.1866047312434334,39,Unemployed,1,0,No,4787,1385,577,6.1,1,D,Universal Credit,None,No,0
LEI-1098,EH6 4,55.96009265086406,-3.179482649583668,70,Retired,3,2,Yes,10232,10245,841,5.5,3,E,"Child Benefit, Child Tax Credit, PIP, Pension Credit","Child Benefit, Child Tax Credit, PIP, Pension Credit",No,2174
LEI-1099,EH6 4,55.959080045683436,-3.1877023378485103,34,Full-time,2,1,No,32766,1897,843,5.4,3,C,Child Benefit,Child Benefit,No,0
LEI-1100,EH6 6,55.96141297531129,-3.1859859860100115,18,Student,3,1,No,6334,8435,861,1.1,3,D,"Child Benefit, Child Tax Credit, Universal Credit","Child Benefit, Child Tax Credit, Universal Credit",No,0
LEI-1101,EH6 6,55.96432801894929,-3.1880436304691795,36,Full-time,1,0,No,18336,11072,521,4.4,1,C,None,None,No,0
LEI-1102,EH6 6,55.96242335317085,-3.188114488324417,45,Full-time,1,0,No,17172,1639,701,4.3,2,C,Universal Credit,Universal Credit,No,0
LEI-1103,EH6 6,55.96168785817692,-3.181884527676645,46,Full-time,2,1,Yes,30110,1429,820,10.2,3,B,"Child Benefit, PIP",PIP,No,0
LEI-1104,EH6 6,55.96168176200671,-3.184030309181256,55,Full-time,2,0,No,25146,4189,512,3.1,1,D,None,None,No,0
LEI-1105,EH6 6,55.963601592600675,-3.1945652842479695,43,Full-time,4,3,No,30381,3473,981,0.7,4,C,Child Benefit,Child Benefit,No,0
LEI-1106,EH6 4,55.962534380928766,-3.188393689378142,49,Full-time,1,0,No,25614,1122,506,0.5,1,D,None,None,No,0
LEI-1107,EH6 6,55.96474234427553,-3.180355159802221,34,Full-time,1,0,No,24310,7731,711,9.4,2,D,None,None,No,0
LEI-1108,EH6 6,55.95735235748753,-3.182775611815386,56,Part-time,4,1,No,20148,6854,864,1.3,3,C,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1109,EH6 4,55.96166938030166,-3.1826621255011966,46,Part-time,2,1,Yes,14708,11999,748,1.7,2,D,"Child Benefit, Universal Credit, PIP","Child Benefit, Universal Credit, PIP",No,2709
LEI-1110,EH6 4,55.9612813526457,-3.1835256502303646,34,Full-time,5,1,No,50416,6461,1028,13.5,4,E,Child Benefit,Child Benefit,No,0
LEI-1111,EH6 4,55.962619944285876,-3.1864331461092563,75,Retired,1,0,Yes,13683,7559,673,0.4,2,B,"Universal Credit, PIP","Universal Credit, PIP",Yes,2623
LEI-1112,EH6 4,55.9616635000696,-3.187540732948046,53,Full-time,1,0,No,39964,5879,566,2.9,1,C,None,None,No,0
LEI-1113,EH6 6,55.961277327828896,-3.184752202577465,44,Full-time,4,1,No,36169,5526,1115,5.2,5,E,Child Benefit,Child Benefit,No,0
LEI-1114,EH6 6,55.96002158066532,-3.18688711237506,48,Full-time,2,1,No,26646,1319,598,13.1,1,D,Child Benefit,Child Benefit,No,0
LEI-1115,EH6 4,55.96337512540672,-3.186840936068179,63,Part-time,3,2,Yes,18040,8394,662,1.9,2,C,"Child Benefit, Child Tax Credit, PIP","Child Benefit, Child Tax Credit",No,0
LEI-1116,EH6 6,55.96162052219039,-3.183473500962203,70,Retired,3,2,Yes,22057,12396,657,6.1,2,D,"Child Benefit, Child Tax Credit, PIP","Child Tax Credit, PIP",No,0
LEI-1117,EH6 6,55.961281953485425,-3.186951561362628,36,Full-time,2,1,No,36297,2822,739,4.6,2,E,Child Benefit,Child Benefit,No,0
LEI-1118,EH6 6,55.9639443500576,-3.1857625686749347,32,Full-time,4,0,No,24903,889,970,6.5,4,B,None,None,No,0
LEI-1119,EH6 6,55.964033097181954,-3.186118993414973,47,Part-time,2,1,Yes,15257,7282,679,0.3,2,E,"Child Benefit, Universal Credit, PIP","Child Benefit, Universal Credit, PIP",No,0
LEI-1120,EH6 6,55.96432481724349,-3.183034721789271,32,Full-time,3,1,No,20725,2386,862,3.4,3,C,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1121,EH6 4,55.96324619988308,-3.1817533526525996,31,Full-time,3,2,No,26141,2905,710,5.1,2,F,"Child Benefit, Child Tax Credit",Child Tax Credit,No,0
LEI-1122,EH6 4,55.958163121268875,-3.1856342629179784,52,Full-time,2,1,No,20997,504,684,7.8,2,D,Child Benefit,Child Benefit,No,0
LEI-1123,EH6 6,55.961151543285894,-3.1873979382729507,44,Part-time,1,0,Yes,21852,1935,509,1.9,1,C,PIP,PIP,No,0
LEI-1124,EH6 6,55.96115775279792,-3.183878251748499,42,Full-time,1,0,No,40640,542,669,1.6,2,C,None,None,No,0
LEI-1125,EH6 6,55.95857490828623,-3.185987158032039,56,Full-time,1,0,No,19711,5627,532,2.6,1,C,None,None,No,0
LEI-1126,EH6 4,55.960079495125974,-3.1829900052177105,73,Retired,6,4,No,11522,7382,1169,4.7,5,E,"Child Benefit, Child Tax Credit, Pension Credit","Child Benefit, Child Tax Credit, Pension Credit",No,0
LEI-1127,EH6 4,55.96080323956189,-3.1783699721321,71,Retired,2,1,No,7828,712,863,2.6,3,E,"Child Benefit, Pension Credit","Child Benefit, Pension Credit",Yes,2722
LEI-1128,EH6 6,55.96383172199752,-3.1887383840976806,46,Full-time,4,1,No,45243,4898,952,4.8,4,E,Child Benefit,Child Benefit,No,0
LEI-1129,EH6 6,55.96066319420117,-3.1807770036507312,18,Part-time,1,0,Yes,14450,2646,584,8.5,1,C,"Universal Credit, PIP","Universal Credit, PIP",No,0
LEI-1130,EH6 6,55.963826749699145,-3.1863306494969525,60,Part-time,4,2,No,16894,2712,1103,7.9,5,E,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,1006
LEI-1131,EH6 4,55.96274259058119,-3.1843825683243727,48,Full-time,3,0,No,30595,6405,674,0.8,2,C,None,None,No,0
LEI-1132,EH6 4,55.959185577450285,-3.183384548469615,40,Full-time,4,1,No,33490,2261,952,1.8,4,E,Child Benefit,Child Benefit,No,0
LEI-1133,EH6 6,55.96338124005301,-3.182759799295396,41,Full-time,1,0,No,27699,6318,516,5.8,1,E,None,None,No,0
LEI-1134,EH6 4,55.96165160878722,-3.1853527195964713,34,Part-time,1,0,No,17703,12076,712,1.5,2,C,Universal Credit,Universal Credit,Yes,2248
LEI-1135,EH6 6,55.96240126019855,-3.182932438609557,54,Full-time,1,0,No,40987,705,513,3.6,1,E,None,None,No,0
LEI-1136,EH6 6,55.9633948433543,-3.184693169159213,66,Part-time,1,0,No,20153,21622,722,10.5,2,E,None,None,No,0
LEI-1137,EH6 4,55.9634773255071,-3.1859802662979653,54,Full-time,1,0,Yes,27522,1661,513,0.1,1,D,PIP,PIP,No,0
LEI-1138,EH6 6,55.959972097557156,-3.1854713071094234,56,Part-time,2,1,Yes,18880,394,843,10.7,3,C,"Child Benefit, PIP",PIP,Yes,2984
LEI-1139,EH6 6,55.9620791632332,-3.1813968617222987,18,Full-time,2,1,No,37101,1122,669,17.8,2,E,Child Benefit,Child Benefit,No,0
LEI-1140,EH6 6,55.962477440246104,-3.1851697637905465,18,Full-time,3,1,No,39162,17,889,0.2,3,E,Child Benefit,None,No,0
LEI-1141,EH6 6,55.958887365072655,-3.1846493167178864,22,Part-time,1,0,Yes,21640,1483,589,0.2,1,D,PIP,PIP,No,0
LEI-1142,EH6 6,55.95901419120346,-3.1848803983867002,55,Part-time,1,0,No,22904,4081,660,7.3,2,C,None,None,No,0
LEI-1143,EH6 6,55.96096086229429,-3.1877705486147327,53,Full-time,3,0,No,34134,18614,740,10.3,2,A,None,None,No,0
LEI-1144,EH6 4,55.9627703469421,-3.179563338115234,58,Full-time,1,0,No,29100,8346,514,0.4,1,D,None,None,No,0
LEI-1145,EH6 6,55.96415281028774,-3.180928710843608,62,Full-time,1,0,No,15394,12414,651,7.7,2,D,Universal Credit,Universal Credit,No,1539
LEI-1146,EH6 4,55.96353509041333,-3.176365670379085,37,Full-time,1,0,No,38699,11209,535,7.1,1,D,None,None,No,0
LEI-1147,EH6 4,55.96393603130915,-3.1840056247976563,23,Full-time,2,0,No,35185,2303,706,5.2,2,B,None,None,No,0
LEI-1148,EH6 6,55.956916556684575,-3.185159764730076,26,Full-time,1,0,No,31446,6078,740,2.5,2,D,None,None,No,0
LEI-1149,EH6 4,55.96414424660475,-3.1840664835191315,67,Retired,1,0,Yes,23178,21458,716,1.6,2,F,PIP,PIP,Yes,759
LEI-1150,EH6 6,55.960959977940234,-3.1869145889420287,38,Part-time,2,1,No,21388,5542,528,10.5,1,C,Child Benefit,Child Benefit,No,0
LEI-1151,EH6 6,55.96696584887386,-3.1898168164187206,37,Full-time,4,2,Yes,24911,356,843,2.5,3,E,"Child Benefit, Child Tax Credit, PIP","Child Benefit, Child Tax Credit, PIP",No,0
LEI-1152,EH6 4,55.95933397001333,-3.1781777519907504,31,Full-time,2,0,No,40588,3713,516,7.9,1,D,None,None,No,0
LEI-1153,EH6 6,55.96220747932299,-3.1829969204847037,61,Part-time,1,0,No,18992,1935,516,12.6,1,F,None,None,No,0
LEI-1154,EH6 6,55.9617577514463,-3.1836341798377594,60,Full-time,2,1,No,37679,2699,577,7.8,1,D,Child Benefit,Child Benefit,No,0
LEI-1155,EH6 4,55.96252939705746,-3.1799242410609643,62,Full-time,4,2,Yes,29160,21354,1179,1.5,5,E,"Child Benefit, PIP","Child Benefit, PIP",No,3249
LEI-1156,EH6 6,55.962620141212696,-3.18628015167377,57,Part-time,1,0,No,22413,2094,535,0.1,1,E,None,None,No,0
LEI-1157,EH6 4,55.962061166413214,-3.183964283849655,35,Unemployed,2,1,No,4213,148,813,2.2,3,E,"Child Benefit, Universal Credit","Child Benefit, Universal Credit",Yes,3124
LEI-1158,EH6 4,55.96248122635546,-3.1820212011785425,42,Full-time,1,0,Yes,16439,11944,727,3.1,2,C,"Universal Credit, PIP","Universal Credit, PIP",Yes,1760
LEI-1159,EH6 6,55.962259685321996,-3.184220202109201,49,Part-time,2,0,No,18053,10336,663,4.9,2,D,None,None,No,0
LEI-1160,EH6 6,55.96265271553871,-3.1828835895225,60,Full-time,1,0,No,55837,2006,574,0.9,1,C,None,None,No,0
LEI-1161,EH6 4,55.96127257569601,-3.1862785700966647,45,Part-time,1,0,No,15166,644,658,2.7,2,E,Universal Credit,Universal Credit,No,2383
LEI-1162,EH6 4,55.95794087874398,-3.1879672185974117,47,Unemployed,1,0,No,7699,6009,546,7.3,1,C,Universal Credit,Universal Credit,No,0
LEI-1163,EH6 4,55.960540125928176,-3.1868907655671115,50,Full-time,5,0,No,23764,296,1127,2.7,5,E,None,None,No,0
LEI-1164,EH6 6,55.96157691345224,-3.188613692771209,23,Full-time,1,0,No,27430,6426,596,3.8,1,E,None,None,No,0
LEI-1165,EH6 4,55.95859248246797,-3.181946331025925,50,Full-time,3,1,No,22882,1332,1048,13.3,4,D,"Child Benefit, Child Tax Credit","Child Benefit, Child Tax Credit",No,0
LEI-1166,EH6 4,55.96465977219983,-3.1889759572707006,27,Full-time,1,0,No,38011,5425,674,0.1,2,F,None,None,No,0
LEI-1167,EH6 6,55.96452375303779,-3.1860527335476645,19,Full-time,1,0,Yes,28043,2893,505,2.8,1,D,PIP,PIP,No,0
LEI-1168,EH6 4,55.960053281590845,-3.188117321226962,22,Full-time,1,0,No,32560,9095,558,3.7,1,C,None,None,No,0
LEI-1169,EH6 4,55.96232413919559,-3.18395020498981,35,Full-time,1,0,No,52666,1639,574,4.5,1,F,None,None,No,0
LEI-1170,EH6 4,55.960399966662656,-3.1820949711515416,66,Full-time,4,0,Yes,35484,2947,1164,6.7,5,C,PIP,PIP,No,1766
